Organism,NC_002696,NC_004463,NC_003047,NC_003062,NC_002678,NC_004310,NC_004917,NC_002163,NC_005090,NC_002929,NC_002928,NC_002927,NC_003295,NC_004757,NC_005085,NC_003112,NC_007086,NC_003919,NC_002488,NC_004347,NC_002516,NC_004578,NC_002947,NC_004603,NC_004459,NC_005061,NC_000907,NC_002663,NC_011833,NC_003143,NC_003198,NC_004741,NC_000913
NC_002696,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004463,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003047,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003062,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002678,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004310,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004917,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002163,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_005090,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002929,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,-0.630126037813,-0.630126037813,-0.630126037813,1.47029408823,-0.630126037813,2.52050415125,nan,nan,nan,-0.630126037813,-0.630126037813,-0.630126037813,0.420084025208,-0.630126037813,-0.630126037813,nan,-0.630126037813,-0.630126037813,-0.630126037813,0.420084025208,-0.630126037813,-0.630126037813,-0.630126037813
NC_002928,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.630126037813,0,-0.630126037813,-0.630126037813,1.47029408823,-0.630126037813,2.52050415125,nan,nan,nan,-0.630126037813,-0.630126037813,-0.630126037813,0.420084025208,-0.630126037813,-0.630126037813,nan,-0.630126037813,-0.630126037813,-0.630126037813,0.420084025208,-0.630126037813,-0.630126037813,-0.630126037813
NC_002927,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.630126037813,-0.630126037813,0,-0.630126037813,1.47029408823,-0.630126037813,2.52050415125,nan,nan,nan,-0.630126037813,-0.630126037813,-0.630126037813,0.420084025208,-0.630126037813,-0.630126037813,nan,-0.630126037813,-0.630126037813,-0.630126037813,0.420084025208,-0.630126037813,-0.630126037813,-0.630126037813
NC_003295,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.630126037813,-0.630126037813,-0.630126037813,0,1.47029408823,-0.630126037813,2.52050415125,nan,nan,nan,-0.630126037813,-0.630126037813,-0.630126037813,0.420084025208,-0.630126037813,-0.630126037813,nan,-0.630126037813,-0.630126037813,-0.630126037813,0.420084025208,-0.630126037813,-0.630126037813,-0.630126037813
NC_004757,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.47029408823,1.47029408823,1.47029408823,1.47029408823,0,1.47029408823,0.420084025208,nan,nan,nan,1.47029408823,1.47029408823,1.47029408823,0.420084025208,1.47029408823,1.47029408823,nan,1.47029408823,1.47029408823,1.47029408823,0.420084025208,1.47029408823,1.47029408823,1.47029408823
NC_005085,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.630126037813,-0.630126037813,-0.630126037813,-0.630126037813,1.47029408823,0,2.52050415125,nan,nan,nan,-0.630126037813,-0.630126037813,-0.630126037813,0.420084025208,-0.630126037813,-0.630126037813,nan,-0.630126037813,-0.630126037813,-0.630126037813,0.420084025208,-0.630126037813,-0.630126037813,-0.630126037813
NC_003112,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.52050415125,2.52050415125,2.52050415125,2.52050415125,0.420084025208,2.52050415125,0,nan,nan,nan,2.52050415125,2.52050415125,2.52050415125,1.47029408823,2.52050415125,2.52050415125,nan,2.52050415125,2.52050415125,2.52050415125,1.47029408823,2.52050415125,2.52050415125,2.52050415125
NC_007086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003919,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002488,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004347,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.630126037813,-0.630126037813,-0.630126037813,-0.630126037813,1.47029408823,-0.630126037813,2.52050415125,nan,nan,nan,0,-0.630126037813,-0.630126037813,0.420084025208,-0.630126037813,-0.630126037813,nan,-0.630126037813,-0.630126037813,-0.630126037813,0.420084025208,-0.630126037813,-0.630126037813,-0.630126037813
NC_002516,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.630126037813,-0.630126037813,-0.630126037813,-0.630126037813,1.47029408823,-0.630126037813,2.52050415125,nan,nan,nan,-0.630126037813,0,-0.630126037813,0.420084025208,-0.630126037813,-0.630126037813,nan,-0.630126037813,-0.630126037813,-0.630126037813,0.420084025208,-0.630126037813,-0.630126037813,-0.630126037813
NC_004578,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.630126037813,-0.630126037813,-0.630126037813,-0.630126037813,1.47029408823,-0.630126037813,2.52050415125,nan,nan,nan,-0.630126037813,-0.630126037813,0,0.420084025208,-0.630126037813,-0.630126037813,nan,-0.630126037813,-0.630126037813,-0.630126037813,0.420084025208,-0.630126037813,-0.630126037813,-0.630126037813
NC_002947,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.420084025208,0.420084025208,0.420084025208,0.420084025208,0.420084025208,0.420084025208,1.47029408823,nan,nan,nan,0.420084025208,0.420084025208,0.420084025208,0,0.420084025208,0.420084025208,nan,0.420084025208,0.420084025208,0.420084025208,-0.630126037813,0.420084025208,0.420084025208,0.420084025208
NC_004603,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.630126037813,-0.630126037813,-0.630126037813,-0.630126037813,1.47029408823,-0.630126037813,2.52050415125,nan,nan,nan,-0.630126037813,-0.630126037813,-0.630126037813,0.420084025208,0,-0.630126037813,nan,-0.630126037813,-0.630126037813,-0.630126037813,0.420084025208,-0.630126037813,-0.630126037813,-0.630126037813
