Organism,NC_002696,NC_004463,NC_003047,NC_003062,NC_002678,NC_004310,NC_004917,NC_002163,NC_005090,NC_002929,NC_002928,NC_002927,NC_003295,NC_004757,NC_005085,NC_003112,NC_007086,NC_003919,NC_002488,NC_004347,NC_002516,NC_004578,NC_002947,NC_004603,NC_004459,NC_005061,NC_000907,NC_002663,NC_011833,NC_003143,NC_003198,NC_004741,NC_000913
NC_002696,0,0.846164924577,-1.1613181873,-1.1613181873,-1.1613181873,-1.1613181873,-0.157576631363,-0.157576631363,-0.157576631363,-1.1613181873,-0.157576631363,-0.157576631363,-0.157576631363,-0.157576631363,-1.1613181873,0.846164924577,-1.1613181873,-1.1613181873,-1.1613181873,-0.157576631363,-0.157576631363,-0.157576631363,-0.157576631363,nan,nan,-0.157576631363,nan,nan,0.846164924577,-0.157576631363,-1.1613181873,-0.157576631363,1.84990648052
NC_004463,0.846164924577,0,0.846164924577,0.846164924577,0.846164924577,0.846164924577,-0.157576631363,-0.157576631363,1.84990648052,0.846164924577,-0.157576631363,-0.157576631363,-0.157576631363,-0.157576631363,0.846164924577,2.85364803646,0.846164924577,0.846164924577,0.846164924577,-0.157576631363,1.84990648052,1.84990648052,1.84990648052,nan,nan,1.84990648052,nan,nan,2.85364803646,-0.157576631363,0.846164924577,-0.157576631363,3.85738959239
NC_003047,-1.1613181873,0.846164924577,0,-1.1613181873,-1.1613181873,-1.1613181873,-0.157576631363,-0.157576631363,-0.157576631363,-1.1613181873,-0.157576631363,-0.157576631363,-0.157576631363,-0.157576631363,-1.1613181873,0.846164924577,-1.1613181873,-1.1613181873,-1.1613181873,-0.157576631363,-0.157576631363,-0.157576631363,-0.157576631363,nan,nan,-0.157576631363,nan,nan,0.846164924577,-0.157576631363,-1.1613181873,-0.157576631363,1.84990648052
NC_003062,-1.1613181873,0.846164924577,-1.1613181873,0,-1.1613181873,-1.1613181873,-0.157576631363,-0.157576631363,-0.157576631363,-1.1613181873,-0.157576631363,-0.157576631363,-0.157576631363,-0.157576631363,-1.1613181873,0.846164924577,-1.1613181873,-1.1613181873,-1.1613181873,-0.157576631363,-0.157576631363,-0.157576631363,-0.157576631363,nan,nan,-0.157576631363,nan,nan,0.846164924577,-0.157576631363,-1.1613181873,-0.157576631363,1.84990648052
NC_002678,-1.1613181873,0.846164924577,-1.1613181873,-1.1613181873,0,-1.1613181873,-0.157576631363,-0.157576631363,-0.157576631363,-1.1613181873,-0.157576631363,-0.157576631363,-0.157576631363,-0.157576631363,-1.1613181873,0.846164924577,-1.1613181873,-1.1613181873,-1.1613181873,-0.157576631363,-0.157576631363,-0.157576631363,-0.157576631363,nan,nan,-0.157576631363,nan,nan,0.846164924577,-0.157576631363,-1.1613181873,-0.157576631363,1.84990648052
NC_004310,-1.1613181873,0.846164924577,-1.1613181873,-1.1613181873,-1.1613181873,0,-0.157576631363,-0.157576631363,-0.157576631363,-1.1613181873,-0.157576631363,-0.157576631363,-0.157576631363,-0.157576631363,-1.1613181873,0.846164924577,-1.1613181873,-1.1613181873,-1.1613181873,-0.157576631363,-0.157576631363,-0.157576631363,-0.157576631363,nan,nan,-0.157576631363,nan,nan,0.846164924577,-0.157576631363,-1.1613181873,-0.157576631363,1.84990648052
NC_004917,-0.157576631363,-0.157576631363,-0.157576631363,-0.157576631363,-0.157576631363,-0.157576631363,0,-1.1613181873,0.846164924577,-0.157576631363,-1.1613181873,-1.1613181873,-1.1613181873,-1.1613181873,-0.157576631363,1.84990648052,-0.157576631363,-0.157576631363,-0.157576631363,-1.1613181873,0.846164924577,0.846164924577,0.846164924577,nan,nan,0.846164924577,nan,nan,1.84990648052,-1.1613181873,-0.157576631363,-1.1613181873,2.85364803646
NC_002163,-0.157576631363,-0.157576631363,-0.157576631363,-0.157576631363,-0.157576631363,-0.157576631363,-1.1613181873,0,0.846164924577,-0.157576631363,-1.1613181873,-1.1613181873,-1.1613181873,-1.1613181873,-0.157576631363,1.84990648052,-0.157576631363,-0.157576631363,-0.157576631363,-1.1613181873,0.846164924577,0.846164924577,0.846164924577,nan,nan,0.846164924577,nan,nan,1.84990648052,-1.1613181873,-0.157576631363,-1.1613181873,2.85364803646
NC_005090,-0.157576631363,1.84990648052,-0.157576631363,-0.157576631363,-0.157576631363,-0.157576631363,0.846164924577,0.846164924577,0,-0.157576631363,0.846164924577,0.846164924577,0.846164924577,0.846164924577,-0.157576631363,-0.157576631363,-0.157576631363,-0.157576631363,-0.157576631363,0.846164924577,-1.1613181873,-1.1613181873,-1.1613181873,nan,nan,-1.1613181873,nan,nan,-0.157576631363,0.846164924577,-0.157576631363,0.846164924577,0.846164924577
NC_002929,-1.1613181873,0.846164924577,-1.1613181873,-1.1613181873,-1.1613181873,-1.1613181873,-0.157576631363,-0.157576631363,-0.157576631363,0,-0.157576631363,-0.157576631363,-0.157576631363,-0.157576631363,-1.1613181873,0.846164924577,-1.1613181873,-1.1613181873,-1.1613181873,-0.157576631363,-0.157576631363,-0.157576631363,-0.157576631363,nan,nan,-0.157576631363,nan,nan,0.846164924577,-0.157576631363,-1.1613181873,-0.157576631363,1.84990648052
